player,frame,ball_x,ball_y,ball_vx,ball_vy,self_px,opp_px,ball_served,serving_is_self,blocker_x,pred_landing_x,prev1_ball_vx,prev1_ball_vy,prev1_self_px,prev2_ball_vx,prev2_ball_vy,prev2_self_px,action
1P,0,95,410,0,0,80,80,0,1,-400,100.0,0,0,80,0.0,0.0,0.0,SERVE_TO_RIGHT
2P,0,95,410,0,0,80,80,0,0,-400,100.0,0,0,80,0.0,0.0,0.0,MOVE_RIGHT
1P,1,95,410,7,-7,80,85,1,1,0,47.0,7,-7,80,0,0,80,MOVE_RIGHT
2P,1,95,410,7,-7,85,80,1,0,0,47.0,7,-7,85,0,0,80,NONE
1P,2,102,403,7,-7,85,85,1,1,5,47.0,7,-7,85,7,-7,80,MOVE_RIGHT
2P,2,102,403,7,-7,85,85,1,0,5,47.0,7,-7,85,7,-7,85,MOVE_RIGHT
1P,3,109,396,7,-7,90,90,1,1,10,47.0,7,-7,90,7,-7,85,MOVE_RIGHT
2P,3,109,396,7,-7,90,90,1,0,10,47.0,7,-7,90,7,-7,85,MOVE_RIGHT
1P,4,116,389,7,-7,95,95,1,1,15,47.0,7,-7,95,7,-7,90,MOVE_LEFT
2P,4,116,389,7,-7,95,95,1,0,15,47.0,7,-7,95,7,-7,90,MOVE_LEFT
1P,5,123,382,7,-7,90,90,1,1,20,47.0,7,-7,90,7,-7,95,MOVE_RIGHT
2P,5,123,382,7,-7,90,90,1,0,20,47.0,7,-7,90,7,-7,95,MOVE_RIGHT
1P,6,130,375,7,-7,95,95,1,1,25,47.0,7,-7,95,7,-7,90,MOVE_RIGHT
2P,6,130,375,7,-7,95,95,1,0,25,47.0,7,-7,95,7,-7,90,MOVE_RIGHT
1P,7,137,368,7,-7,100,100,1,1,30,47.0,7,-7,100,7,-7,95,MOVE_RIGHT
2P,7,137,368,7,-7,100,100,1,0,30,47.0,7,-7,100,7,-7,95,MOVE_RIGHT
1P,8,144,361,7,-7,105,105,1,1,35,47.0,7,-7,105,7,-7,100,MOVE_RIGHT
2P,8,144,361,7,-7,105,105,1,0,35,47.0,7,-7,105,7,-7,100,MOVE_RIGHT
1P,9,151,354,7,-7,110,110,1,1,40,47.0,7,-7,110,7,-7,105,MOVE_RIGHT
2P,9,151,354,7,-7,110,110,1,0,40,47.0,7,-7,110,7,-7,105,MOVE_RIGHT
1P,10,158,347,7,-7,115,115,1,1,45,47.0,7,-7,115,7,-7,110,MOVE_RIGHT
2P,10,158,347,7,-7,115,115,1,0,45,47.0,7,-7,115,7,-7,110,MOVE_RIGHT
1P,11,165,340,7,-7,120,120,1,1,50,47.0,7,-7,120,7,-7,115,MOVE_RIGHT
2P,11,165,340,7,-7,120,120,1,0,50,47.0,7,-7,120,7,-7,115,MOVE_RIGHT
1P,12,172,333,7,-7,125,125,1,1,55,47.0,7,-7,125,7,-7,120,MOVE_RIGHT
2P,12,172,333,7,-7,125,125,1,0,55,47.0,7,-7,125,7,-7,120,MOVE_RIGHT
1P,13,179,326,7,-7,130,130,1,1,60,47.0,7,-7,130,7,-7,125,MOVE_RIGHT
2P,13,179,326,7,-7,130,130,1,0,60,47.0,7,-7,130,7,-7,125,MOVE_RIGHT
1P,14,186,319,7,-7,135,135,1,1,65,47.0,7,-7,135,7,-7,130,MOVE_RIGHT
2P,14,186,319,7,-7,135,135,1,0,65,47.0,7,-7,135,7,-7,130,MOVE_RIGHT
1P,15,190,312,-7,-7,140,140,1,1,70,47.0,-7,-7,140,7,-7,135,MOVE_RIGHT
2P,15,190,312,-7,-7,140,140,1,0,70,47.0,-7,-7,140,7,-7,135,NONE
1P,16,183,305,-7,-7,145,140,1,1,75,47.0,-7,-7,145,-7,-7,140,MOVE_RIGHT
2P,16,183,305,-7,-7,140,145,1,0,75,47.0,-7,-7,140,-7,-7,140,NONE
1P,17,176,298,-7,-7,150,140,1,1,80,47.0,-7,-7,150,-7,-7,145,MOVE_RIGHT
2P,17,176,298,-7,-7,140,150,1,0,80,47.0,-7,-7,140,-7,-7,140,MOVE_LEFT
1P,18,169,291,-7,-7,155,135,1,1,85,111.0,-7,-7,155,-7,-7,150,MOVE_RIGHT
2P,18,169,291,-7,-7,135,155,1,0,85,111.0,-7,-7,135,-7,-7,140,MOVE_LEFT
1P,19,162,284,-7,-7,160,130,1,1,90,47.0,-7,-7,160,-7,-7,155,NONE
2P,19,162,284,-7,-7,130,160,1,0,90,47.0,-7,-7,130,-7,-7,135,MOVE_LEFT
1P,20,155,277,-7,-7,160,125,1,1,95,97.0,-7,-7,160,-7,-7,160,NONE
2P,20,155,277,-7,-7,125,160,1,0,95,97.0,-7,-7,125,-7,-7,130,MOVE_LEFT
1P,21,148,270,-7,-7,160,120,1,1,100,83.0,-7,-7,160,-7,-7,160,MOVE_LEFT
2P,21,148,270,-7,-7,120,160,1,0,100,83.0,-7,-7,120,-7,-7,125,NONE
1P,22,141,263,-7,-7,155,120,1,1,105,69.0,-7,-7,155,-7,-7,160,MOVE_LEFT
2P,22,141,263,-7,-7,120,155,1,0,105,69.0,-7,-7,120,-7,-7,120,MOVE_LEFT
1P,23,140,256,7,-7,150,115,1,1,110,69.0,7,-7,150,-7,-7,155,MOVE_LEFT
