player,frame,ball_x,ball_y,ball_vx,ball_vy,self_px,opp_px,ball_served,serving_is_self,blocker_x,pred_landing_x,prev1_ball_vx,prev1_ball_vy,prev1_self_px,prev2_ball_vx,prev2_ball_vy,prev2_self_px,action,landing_dx,time_to_land,ball_speed_abs
1P,0,95,410,0,0,80,80,0,1,-280,100.0,0,0,80,0.0,0.0,0.0,SERVE_TO_LEFT,20.0,3.3333333333333335,0.0
2P,0,95,410,0,0,80,80,0,0,-280,100.0,0,0,80,0.0,0.0,0.0,MOVE_RIGHT,20.0,3.3333333333333335,0.0
1P,1,95,410,-7,-7,80,85,1,1,0,153.0,-7,-7,80,0.0,0.0,80.0,MOVE_RIGHT,73.0,0.8,9.899494936611665
2P,1,95,410,-7,-7,85,80,1,0,0,153.0,-7,-7,85,0.0,0.0,80.0,MOVE_LEFT,68.0,0.8,9.899494936611665
1P,2,88,403,-7,-7,85,80,1,1,5,153.0,-7,-7,85,-7.0,-7.0,80.0,NONE,68.0,0.7833333333333333,9.899494936611665
2P,2,88,403,-7,-7,80,85,1,0,5,153.0,-7,-7,80,-7.0,-7.0,85.0,MOVE_LEFT,73.0,0.7833333333333333,9.899494936611665
1P,3,81,396,-7,-7,85,75,1,1,10,153.0,-7,-7,85,-7.0,-7.0,85.0,NONE,68.0,0.7666666666666667,9.899494936611665
2P,3,81,396,-7,-7,75,85,1,0,10,153.0,-7,-7,75,-7.0,-7.0,80.0,MOVE_LEFT,78.0,0.7666666666666667,9.899494936611665
1P,4,74,389,-7,-7,85,70,1,1,15,153.0,-7,-7,85,-7.0,-7.0,85.0,MOVE_LEFT,68.0,0.75,9.899494936611665
2P,4,74,389,-7,-7,70,85,1,0,15,153.0,-7,-7,70,-7.0,-7.0,75.0,MOVE_LEFT,83.0,0.75,9.899494936611665
1P,5,67,382,-7,-7,80,65,1,1,20,153.0,-7,-7,80,-7.0,-7.0,85.0,MOVE_LEFT,73.0,0.7333333333333333,9.899494936611665
2P,5,67,382,-7,-7,65,80,1,0,20,153.0,-7,-7,65,-7.0,-7.0,70.0,MOVE_LEFT,88.0,0.7333333333333333,9.899494936611665
1P,6,60,375,-7,-7,75,60,1,1,25,153.0,-7,-7,75,-7.0,-7.0,80.0,MOVE_LEFT,78.0,0.7166666666666667,9.899494936611665
2P,6,60,375,-7,-7,60,75,1,0,25,153.0,-7,-7,60,-7.0,-7.0,65.0,MOVE_LEFT,93.0,0.7166666666666667,9.899494936611665
1P,7,53,368,-7,-7,70,55,1,1,30,181.0,-7,-7,70,-7.0,-7.0,75.0,MOVE_RIGHT,111.0,0.6333333333333333,9.899494936611665
2P,7,53,368,-7,-7,55,70,1,0,30,181.0,-7,-7,55,-7.0,-7.0,60.0,MOVE_LEFT,126.0,0.6333333333333333,9.899494936611665
1P,8,46,361,-7,-7,75,50,1,1,35,181.0,-7,-7,75,-7.0,-7.0,70.0,MOVE_LEFT,106.0,0.6166666666666667,9.899494936611665
2P,8,46,361,-7,-7,50,75,1,0,35,181.0,-7,-7,50,-7.0,-7.0,55.0,MOVE_LEFT,131.0,0.6166666666666667,9.899494936611665
1P,9,39,354,-7,-7,70,45,1,1,40,181.0,-7,-7,70,-7.0,-7.0,75.0,MOVE_LEFT,111.0,0.6,9.899494936611665
2P,9,39,354,-7,-7,45,70,1,0,40,181.0,-7,-7,45,-7.0,-7.0,50.0,MOVE_LEFT,136.0,0.6,9.899494936611665
1P,10,32,347,-7,-7,65,40,1,1,45,181.0,-7,-7,65,-7.0,-7.0,70.0,MOVE_LEFT,116.0,0.5833333333333334,9.899494936611665
2P,10,32,347,-7,-7,40,65,1,0,45,181.0,-7,-7,40,-7.0,-7.0,45.0,MOVE_LEFT,141.0,0.5833333333333334,9.899494936611665
1P,11,25,340,-7,-7,60,35,1,1,50,181.0,-7,-7,60,-7.0,-7.0,65.0,MOVE_LEFT,121.0,0.5666666666666667,9.899494936611665
2P,11,25,340,-7,-7,35,60,1,0,50,181.0,-7,-7,35,-7.0,-7.0,40.0,MOVE_LEFT,146.0,0.5666666666666667,9.899494936611665
1P,12,18,333,-7,-7,55,30,1,1,55,181.0,-7,-7,55,-7.0,-7.0,60.0,MOVE_LEFT,126.0,0.55,9.899494936611665
2P,12,18,333,-7,-7,30,55,1,0,55,181.0,-7,-7,30,-7.0,-7.0,35.0,MOVE_LEFT,151.0,0.55,9.899494936611665
1P,13,11,326,-7,-7,50,25,1,1,60,181.0,-7,-7,50,-7.0,-7.0,55.0,MOVE_LEFT,131.0,0.5333333333333333,9.899494936611665
2P,13,11,326,-7,-7,25,50,1,0,60,181.0,-7,-7,25,-7.0,-7.0,30.0,MOVE_LEFT,156.0,0.5333333333333333,9.899494936611665
1P,14,4,319,-7,-7,45,20,1,1,65,131.0,-7,-7,45,-7.0,-7.0,50.0,MOVE_LEFT,86.0,0.5833333333333334,9.899494936611665
2P,14,4,319,-7,-7,20,45,1,0,65,131.0,-7,-7,20,-7.0,-7.0,25.0,MOVE_LEFT,111.0,0.5833333333333334,9.899494936611665
1P,15,0,312,7,-7,40,15,1,1,70,117.0,7,-7,40,-7.0,-7.0,45.0,MOVE_LEFT,77.0,0.5666666666666667,9.899494936611665
2P,15,0,312,7,-7,15,40,1,0,70,117.0,7,-7,15,-7.0,-7.0,20.0,MOVE_RIGHT,102.0,0.5666666666666667,9.899494936611665
1P,16,7,305,7,-7,35,20,1,1,75,103.0,7,-7,35,7.0,-7.0,40.0,MOVE_LEFT,68.0,0.55,9.899494936611665
2P,16,7,305,7,-7,20,35,1,0,75,103.0,7,-7,20,7.0,-7.0,15.0,MOVE_RIGHT,83.0,0.55,9.899494936611665
1P,17,14,298,7,-7,30,25,1,1,80,153.0,7,-7,30,7.0,-7.0,35.0,MOVE_LEFT,123.0,0.5333333333333333,9.899494936611665
2P,17,14,298,7,-7,25,30,1,0,80,153.0,7,-7,25,7.0,-7.0,20.0,MOVE_RIGHT,128.0,0.5333333333333333,9.899494936611665
1P,18,21,291,7,-7,25,30,1,1,85,89.0,7,-7,25,7.0,-7.0,30.0,NONE,64.0,0.5166666666666667,9.899494936611665
2P,18,21,291,7,-7,30,25,1,0,85,89.0,7,-7,30,7.0,-7.0,25.0,MOVE_RIGHT,59.0,0.5166666666666667,9.899494936611665
1P,19,28,284,7,-7,25,35,1,1,90,153.0,7,-7,25,7.0,-7.0,25.0,NONE,128.0,0.5,9.899494936611665
2P,19,28,284,7,-7,35,25,1,0,90,153.0,7,-7,35,7.0,-7.0,30.0,MOVE_RIGHT,118.0,0.5,9.899494936611665
1P,20,35,277,7,-7,25,40,1,1,95,153.0,7,-7,25,7.0,-7.0,25.0,MOVE_RIGHT,128.0,0.48333333333333334,9.899494936611665
2P,20,35,277,7,-7,40,25,1,0,95,153.0,7,-7,40,7.0,-7.0,35.0,MOVE_RIGHT,113.0,0.48333333333333334,9.899494936611665
1P,21,42,270,7,-7,30,45,1,1,100,153.0,7,-7,30,7.0,-7.0,25.0,MOVE_RIGHT,123.0,0.4666666666666667,9.899494936611665
2P,21,42,270,7,-7,45,30,1,0,100,153.0,7,-7,45,7.0,-7.0,40.0,MOVE_RIGHT,108.0,0.4666666666666667,9.899494936611665
1P,22,49,263,7,-7,35,50,1,1,105,153.0,7,-7,35,7.0,-7.0,30.0,MOVE_RIGHT,118.0,0.45,9.899494936611665
2P,22,49,263,7,-7,50,35,1,0,105,153.0,7,-7,50,7.0,-7.0,45.0,MOVE_RIGHT,103.0,0.45,9.899494936611665
1P,23,56,256,7,-7,40,55,1,1,110,153.0,7,-7,40,7.0,-7.0,35.0,MOVE_LEFT,113.0,0.43333333333333335,9.899494936611665
2P,23,56,256,7,-7,55,40,1,0,110,153.0,7,-7,55,7.0,-7.0,50.0,MOVE_RIGHT,98.0,0.43333333333333335,9.899494936611665
1P,24,63,249,7,-7,35,60,1,1,115,153.0,7,-7,35,7.0,-7.0,40.0,MOVE_RIGHT,118.0,0.4166666666666667,9.899494936611665
2P,24,63,249,7,-7,60,35,1,0,115,153.0,7,-7,60,7.0,-7.0,55.0,MOVE_RIGHT,93.0,0.4166666666666667,9.899494936611665
1P,25,70,242,7,-7,40,65,1,1,120,153.0,7,-7,40,7.0,-7.0,35.0,MOVE_RIGHT,113.0,0.4,9.899494936611665
2P,25,70,242,7,-7,65,40,1,0,120,153.0,7,-7,65,7.0,-7.0,60.0,MOVE_RIGHT,88.0,0.4,9.899494936611665
1P,26,77,235,7,-7,45,70,1,1,125,153.0,7,-7,45,7.0,-7.0,40.0,MOVE_RIGHT,108.0,0.38333333333333336,9.899494936611665
2P,26,77,235,7,-7,70,45,1,0,125,153.0,7,-7,70,7.0,-7.0,65.0,MOVE_RIGHT,83.0,0.38333333333333336,9.899494936611665
1P,27,84,228,7,-7,50,75,1,1,130,153.0,7,-7,50,7.0,-7.0,45.0,MOVE_RIGHT,103.0,0.36666666666666664,9.899494936611665
2P,27,84,228,7,-7,75,50,1,0,130,153.0,7,-7,75,7.0,-7.0,70.0,MOVE_RIGHT,78.0,0.36666666666666664,9.899494936611665
1P,28,91,221,7,-7,55,80,1,1,135,153.0,7,-7,55,7.0,-7.0,50.0,MOVE_RIGHT,98.0,0.35,9.899494936611665
2P,28,91,221,7,-7,80,55,1,0,135,153.0,7,-7,80,7.0,-7.0,75.0,MOVE_RIGHT,73.0,0.35,9.899494936611665
1P,29,98,214,7,-7,60,85,1,1,140,153.0,7,-7,60,7.0,-7.0,55.0,MOVE_RIGHT,93.0,0.3333333333333333,9.899494936611665
2P,29,98,214,7,-7,85,60,1,0,140,153.0,7,-7,85,7.0,-7.0,80.0,MOVE_RIGHT,68.0,0.3333333333333333,9.899494936611665
1P,30,105,207,7,-7,65,90,1,1,145,153.0,7,-7,65,7.0,-7.0,60.0,MOVE_RIGHT,88.0,0.31666666666666665,9.899494936611665
2P,30,105,207,7,-7,90,65,1,0,145,153.0,7,-7,90,7.0,-7.0,85.0,MOVE_RIGHT,63.0,0.31666666666666665,9.899494936611665
1P,31,112,200,7,-7,70,95,1,1,150,153.0,7,-7,70,7.0,-7.0,65.0,MOVE_RIGHT,83.0,0.3,9.899494936611665
2P,31,112,200,7,-7,95,70,1,0,150,153.0,7,-7,95,7.0,-7.0,90.0,MOVE_RIGHT,58.0,0.3,9.899494936611665
1P,32,119,193,7,-7,75,100,1,1,155,153.0,7,-7,75,7.0,-7.0,70.0,MOVE_RIGHT,78.0,0.2833333333333333,9.899494936611665
