player,frame,ball_x,ball_y,ball_vx,ball_vy,self_px,opp_px,ball_served,serving_is_self,blocker_x,pred_landing_x,prev1_ball_vx,prev1_ball_vy,prev1_self_px,prev2_ball_vx,prev2_ball_vy,prev2_self_px,action
1P,6,130,375,7,-7,100,110,1,1,25,47.0,7,-7,100,7,-7,95,MOVE_RIGHT
2P,6,130,375,7,-7,110,100,1,0,25,47.0,7,-7,110,7,-7,105,NONE
1P,7,137,368,7,-7,105,110,1,1,30,47.0,7,-7,105,7,-7,100,MOVE_RIGHT
2P,7,137,368,7,-7,110,105,1,0,30,47.0,7,-7,110,7,-7,110,MOVE_RIGHT
1P,8,144,361,7,-7,110,115,1,1,35,47.0,7,-7,110,7,-7,105,MOVE_RIGHT
2P,8,144,361,7,-7,115,110,1,0,35,47.0,7,-7,115,7,-7,110,MOVE_RIGHT
1P,9,151,354,7,-7,115,120,1,1,40,47.0,7,-7,115,7,-7,110,MOVE_RIGHT
2P,9,151,354,7,-7,120,115,1,0,40,47.0,7,-7,120,7,-7,115,MOVE_RIGHT
1P,10,158,347,7,-7,120,125,1,1,45,47.0,7,-7,120,7,-7,115,MOVE_RIGHT
2P,10,158,347,7,-7,125,120,1,0,45,47.0,7,-7,125,7,-7,120,MOVE_RIGHT
1P,11,165,340,7,-7,125,130,1,1,50,47.0,7,-7,125,7,-7,120,MOVE_RIGHT
2P,11,165,340,7,-7,130,125,1,0,50,47.0,7,-7,130,7,-7,125,MOVE_RIGHT
1P,12,172,333,7,-7,130,135,1,1,55,47.0,7,-7,130,7,-7,125,MOVE_RIGHT
2P,12,172,333,7,-7,135,130,1,0,55,47.0,7,-7,135,7,-7,130,MOVE_RIGHT
1P,13,179,326,7,-7,135,140,1,1,60,47.0,7,-7,135,7,-7,130,MOVE_RIGHT
2P,13,179,326,7,-7,140,135,1,0,60,47.0,7,-7,140,7,-7,135,MOVE_RIGHT
1P,14,186,319,7,-7,140,145,1,1,65,47.0,7,-7,140,7,-7,135,MOVE_RIGHT
2P,14,186,319,7,-7,145,140,1,0,65,47.0,7,-7,145,7,-7,140,MOVE_RIGHT
1P,15,190,312,-7,-7,145,150,1,1,70,47.0,-7,-7,145,7,-7,140,MOVE_RIGHT
2P,15,190,312,-7,-7,150,145,1,0,70,47.0,-7,-7,150,7,-7,145,MOVE_LEFT
1P,16,183,305,-7,-7,150,145,1,1,75,47.0,-7,-7,150,-7,-7,145,MOVE_RIGHT
2P,16,183,305,-7,-7,145,150,1,0,75,47.0,-7,-7,145,-7,-7,150,MOVE_LEFT
1P,17,176,298,-7,-7,155,140,1,1,80,47.0,-7,-7,155,-7,-7,150,MOVE_RIGHT
2P,17,176,298,-7,-7,140,155,1,0,80,47.0,-7,-7,140,-7,-7,145,MOVE_LEFT
1P,19,162,284,-7,-7,160,130,1,1,90,47.0,-7,-7,160,-7,-7,160,NONE
